Disaster Group,ISO,Count
Natural,AFG,170
Natural,AGO,64
Natural,AIA,1
Natural,ALB,26
Natural,ARE,3
Natural,ARG,83
Natural,ARM,10
Natural,ASM,4
Natural,ATG,3
Natural,AUS,126
Natural,AUT,30
Natural,AZE,9
Natural,BDI,57
Natural,BEL,39
Natural,BEN,31
Natural,BFA,37
Natural,BGD,151
Natural,BGR,45
Natural,BHS,15
Natural,BIH,31
Natural,BLM,1
Natural,BLR,9
Natural,BLZ,15
Natural,BMU,1
Natural,BOL,76
Natural,BRA,159
Natural,BRB,9
Natural,BTN,7
Natural,BWA,15
Natural,CAF,38
Natural,CAN,82
Natural,CHE,34
Natural,CHL,66
Natural,CHN,651
Natural,CIV,26
Natural,CMR,39
Natural,COD,130
Natural,COG,31
Natural,COK,4
Natural,COL,133
Natural,COM,14
Natural,CPV,10
Natural,CRI,38
Natural,CUB,47
Natural,CYM,7
Natural,CYP,10
Natural,CZE,33
Natural,DEU,64
Natural,DJI,13
Natural,DMA,5
Natural,DNK,9
Natural,DOM,63
Natural,DZA,49
Natural,ECU,65
Natural,EGY,16
Natural,ERI,4
Natural,ESP,64
Natural,EST,6
Natural,ETH,81
Natural,FIN,3
Natural,FJI,30
Natural,FRA,120
Natural,FSM,10
Natural,GAB,11
Natural,GBR,65
Natural,GEO,23
Natural,GHA,37
Natural,GIN,33
Natural,GLP,5
Natural,GMB,21
Natural,GNB,10
Natural,GNQ,2
Natural,GRC,61
Natural,GRD,5
Natural,GTM,91
Natural,GUF,2
Natural,GUM,5
Natural,GUY,8
Natural,HKG,15
Natural,HND,59
Natural,HRV,33
Natural,HTI,97
Natural,HUN,27
Natural,IDN,397
Natural,IMN,1
Natural,IND,412
Natural,IRL,16
Natural,IRN,118
Natural,IRQ,22
Natural,ISL,5
Natural,ISR,11
Natural,ITA,99
Natural,JAM,22
Natural,JOR,7
Natural,JPN,174
Natural,KAZ,22
Natural,KEN,99
Natural,KGZ,28
Natural,KHM,34
Natural,KIR,3
Natural,KNA,2
Natural,KOR,66
Natural,KWT,1
Natural,LAO,31
Natural,LBN,12
Natural,LBR,16
Natural,LBY,4
Natural,LCA,11
Natural,LIE,1
Natural,LKA,84
Natural,LSO,16
Natural,LTU,12
Natural,LUX,6
Natural,LVA,11
Natural,MAC,2
Natural,MAF,1
Natural,MAR,32
Natural,MDA,12
Natural,MDG,75
Natural,MDV,6
Natural,MEX,166
Natural,MHL,9
Natural,MKD,22
Natural,MLI,39
Natural,MLT,2
Natural,MMR,57
Natural,MNE,8
Natural,MNG,32
Natural,MNP,5
Natural,MOZ,90
Natural,MRT,25
Natural,MSR,1
Natural,MTQ,5
Natural,MUS,8
Natural,MWI,65
Natural,MYS,77
Natural,MYT,1
Natural,NAM,29
Natural,NCL,3
Natural,NER,70
Natural,NGA,111
Natural,NIC,48
Natural,NIU,1
Natural,NLD,25
Natural,NOR,10
Natural,NPL,84
Natural,NZL,38
Natural,OMN,16
Natural,PAK,167
Natural,PAN,42
Natural,PER,112
Natural,PHL,379
Natural,PLW,5
Natural,PNG,59
Natural,POL,49
Natural,PRI,20
Natural,PRK,37
Natural,PRT,36
Natural,PRY,43
Natural,PSE,8
Natural,PYF,2
Natural,QAT,1
Natural,REU,9
Natural,ROU,70
Natural,RUS,127
Natural,RWA,43
Natural,SAU,27
Natural,SCG,12
Natural,SDN,63
Natural,SEN,28
Natural,SGP,2
Natural,SHN,1
Natural,SLB,22
Natural,SLE,22
Natural,SLV,51
Natural,SOM,77
Natural,SPI,7
Natural,SRB,33
Natural,SSD,29
Natural,STP,3
Natural,SUR,4
Natural,SVK,24
Natural,SVN,14
Natural,SWE,10
Natural,SWZ,13
Natural,SXM,1
Natural,SYC,6
Natural,SYR,18
Natural,TCA,5
Natural,TCD,44
Natural,TGO,18
Natural,THA,121
Natural,TJK,60
Natural,TKL,1
Natural,TKM,1
Natural,TLS,13
Natural,TON,14
Natural,TTO,6
Natural,TUN,10
Natural,TUR,90
Natural,TUV,4
Natural,TWN,71
Natural,TZA,79
Natural,UGA,87
Natural,UKR,30
Natural,URY,32
Natural,USA,614
Natural,UZB,6
Natural,VCT,14
Natural,VEN,39
Natural,VGB,2
Natural,VIR,3
Natural,VNM,189
Natural,VUT,27
Natural,WLF,1
Natural,WSM,8
Natural,YEM,54
Natural,ZAF,89
Natural,ZMB,40
Natural,ZWE,48
Technological,AFG,45
Technological,AGO,35
Technological,ALB,5
Technological,ANT,1
Technological,ARE,9
Technological,ARG,34
Technological,ARM,2
Technological,AUS,12
Technological,AUT,3
Technological,AZE,8
Technological,BDI,13
Technological,BEL,5
Technological,BEN,16
Technological,BFA,25
Technological,BGD,125
Technological,BGR,5
Technological,BHR,5
Technological,BHS,5
Technological,BIH,4
Technological,BLR,1
Technological,BMU,1
Technological,BOL,37
Technological,BRA,105
Technological,CAF,29
Technological,CAN,15
Technological,CHE,6
Technological,CHL,17
Technological,CHN,699
Technological,CIV,21
Technological,CMR,47
Technological,COD,171
Technological,COG,14
Technological,COL,66
Technological,COM,15
Technological,CPV,2
Technological,CRI,5
Technological,CUB,14
Technological,CUW,1
Technological,CYP,3
Technological,CZE,4
Technological,DEU,19
Technological,DJI,10
Technological,DNK,2
Technological,DOM,8
Technological,DZA,49
Technological,ECU,32
Technological,EGY,163
Technological,ERI,1
Technological,ESP,36
Technological,EST,2
Technological,ETH,24
Technological,FIN,1
Technological,FRA,24
Technological,GAB,10
Technological,GBR,8
Technological,GEO,4
Technological,GHA,31
Technological,GIN,46
Technological,GLP,1
Technological,GMB,4
Technological,GNB,13
Technological,GNQ,14
Technological,GRC,41
Technological,GTM,24
Technological,HKG,8
Technological,HND,15
Technological,HRV,3
Technological,HTI,33
Technological,HUN,7
Technological,IDN,167
Technological,IND,401
Technological,IRN,150
Technological,IRQ,27
Technological,ISR,4
Technological,ITA,60
Technological,JOR,10
Technological,JPN,24
Technological,KAZ,14
Technological,KEN,75
Technological,KGZ,5
Technological,KHM,10
Technological,KIR,1
Technological,KOR,35
Technological,KWT,3
Technological,LAO,5
Technological,LBN,8
Technological,LBR,7
Technological,LBY,68
Technological,LKA,11
Technological,LSO,1
Technological,LTU,1
Technological,LUX,1
Technological,LVA,1
Technological,MAC,1
Technological,MAR,67
Technological,MDA,1
Technological,MDG,14
Technological,MDV,5
Technological,MEX,97
Technological,MKD,5
Technological,MLI,33
Technological,MLT,8
Technological,MMR,28
Technological,MNE,2
Technological,MNG,2
Technological,MOZ,20
Technological,MRT,18
Technological,MUS,1
Technological,MWI,16
Technological,MYS,24
Technological,MYT,3
Technological,NAM,3
Technological,NER,15
Technological,NGA,328
Technological,NIC,5
Technological,NLD,5
Technological,NOR,3
Technological,NPL,59
Technological,NZL,5
Technological,OMN,4
Technological,PAK,154
Technological,PAN,10
Technological,PER,126
Technological,PHL,92
Technological,PNG,4
Technological,POL,12
Technological,PRI,7
Technological,PRK,6
Technological,PRT,7
Technological,PRY,2
Technological,PSE,2
Technological,PYF,1
Technological,QAT,4
Technological,ROU,13
Technological,RUS,179
Technological,RWA,8
Technological,SAU,34
Technological,SCG,4
Technological,SDN,61
Technological,SEN,43
Technological,SGP,1
Technological,SLE,16
Technological,SLV,8
Technological,SOM,18
Technological,SPI,8
Technological,SRB,1
Technological,SSD,5
Technological,STP,2
Technological,SUR,3
Technological,SVK,6
Technological,SVN,1
Technological,SWZ,3
Technological,SYC,1
Technological,SYR,23
Technological,TCA,2
Technological,TCD,4
Technological,TGO,10
Technological,THA,56
Technological,TJK,3
Technological,TKM,1
Technological,TON,1
Technological,TUN,42
Technological,TUR,113
Technological,TUV,1
Technological,TWN,18
Technological,TZA,72
Technological,UGA,69
Technological,UKR,50
Technological,URY,4
Technological,USA,99
Technological,UZB,4
Technological,VEN,29
Technological,VNM,48
Technological,YEM,42
Technological,ZAF,134
Technological,ZMB,30
Technological,ZWE,37
